,REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,Company Location PT
704,1736,Creo,USA,2016,Ecuador,"""heirloom"", Arriba Nacional","0,73","3- B,S,C","creamy, complex, fruity","3,75",EUA
705,1736,Creo,USA,2016,Ecuador,"""heirloom"", Arriba Nacional","0,85","3- B,S,C","oily, mild bitter, nutty, fruit","3,25",EUA
706,2466,Crow and Moss,USA,2020,Honduras,"Wampusirpi, batch 41","0,7","2- B,S","banana, spicy, grassy","3,5",EUA
707,2466,Crow and Moss,USA,2020,Dominican Republic,"Zorzal, batch 40","0,7","2- B,S","deep cherry, earthy, rubbery","3,25",EUA
708,2466,Crow and Moss,USA,2020,Colombia,"Aruaca, batch 39","0,7","2- B,S","nutty, citrus","3,25",EUA
709,2502,Crow and Moss,USA,2020,Ecuador,"Camino Verde, batch 84","0,7","2- B,S","bold, black tea, floral, banana","3,25",EUA
710,2656,Crow and Moss,USA,2021,India,"Anamalai, Pollachi City, batch 148","0,7","2- B,S","sticky, cocoa, honey","3,75",EUA
711,2720,CRU,USA,2022,Guatemala,"El Peten, batch 21156","0,72","2- B,S","sticky, mild molasses, mango","3,5",EUA
712,2724,CRU,USA,2022,Nicaragua,"La Dalia, batch 21266","0,72","2- B,S","mild molasses, creamy, caramel","3,5",EUA
713,2724,CRU,USA,2022,Honduras,"La Masica, batch 21155","0,72","2- B,S","floral, mild molasses, astringent","3,0",EUA
714,2522,Cultura,USA,2020,Haiti,"Pisa, 2020 harvest, batch 20111","0,7","3- B,S,C",rich malt,"3,5",EUA
715,2522,Cultura,USA,2020,Belize,"Maya Mountain, 2020 harvest, batch 20107","0,75","3- B,S,C","raspberry, cocoa","3,5",EUA
716,2526,Cultura,USA,2020,Mexico,"Tabasco, Agrofloresta Cacao, 2020 h., batch 20098","0,7","3- B,S,C","raisins, honey, molassses","3,5",EUA
717,2526,Cultura,USA,2020,Guatemala,"Lachua, Cacao Verapaz, 2018 harvest, batch 20092","0,7","3- B,S,C","sandy, sweet, basic cocoa base","3,25",EUA
718,2622,Cuna de Piedra,Mexico,2021,Mexico,"Comalcalco, Tabasco, b. 2370003, 2019 harvest","0,73","2- B,S","deep cocoa, fruit, melon","3,75",México
719,785,Daintree,Australia,2011,Australia,"Daintree Estates, N. Queensland","0,7","5- B,S,C,V,L","vanilla, banana, citrus","3,25",Austrália
720,1654,Daintree,Australia,2015,Australia,Goodman Estate,"0,7","3- B,S,C","sandy, candy like vanilla, off","2,75",Austrália
721,1928,Dalloway,USA,2017,Dominican Republic,"Dominican Republic, batch 7","0,72","2- B,S","hammy, sour, astringent","2,75",EUA
722,1610,Damson,UK,2015,Ecuador,Los Rios,"0,7","3- B,S,C","floral, banana","3,5",Reino Unido
723,1610,Damson,UK,2015,Trinidad,Robson Estate,"0,7","3- B,S,C","floral, sour, synthetic, off","3,0",Reino Unido
724,1666,Damson,UK,2015,Nicaragua,O'Payo,"0,7","3- B,S,C","oily, grapes, pungent","2,75",Reino Unido
725,1666,Damson,UK,2015,Grenada,Crayfish Bay aka Non Pariel Estate,"0,7","3- B,S,C","off, pungent, intense","2,25",Reino Unido
726,2064,Damson,UK,2018,Blend,"Angel Bar, Nicaragua, Madagascar","0,65","4- B,S,C,L","sweet, vinegar","2,5",Reino Unido
727,2574,Dancing Lion,USA,2021,Peru,"Ucayali, collab w/ USAID & Alanzo Cacao","0,72","4- B,S,C,L","raisiny, slight anise, roasty","3,5",EUA
728,2574,Dancing Lion,USA,2021,India,Anamalai,"0,72","4- B,S,C,L","fresh fruit, sour cherry, roasty","3,0",EUA
729,2574,Dancing Lion,USA,2021,Puerto Rico,"Puerto Rico, collab w/ USDA (Juan Echevarria)","0,68","4- B,S,C,L","harsh woody/green, cocoa base","2,5",EUA
730,915,Dandelion,USA,2012,Dominican Republic,"Elvesia, 2011","0,7","2- B,S","spicy, fudgey","3,75",EUA
731,805,Dandelion,USA,2012,Colombia,Colombian,"0,7","2- B,S","grassy, green, candy spice","3,25",EUA
732,805,Dandelion,USA,2012,Costa Rica,Upala,"0,7","2- B,S","dried fruit, tannic","3,0",EUA
733,1085,Dandelion,USA,2013,Venezuela,"Mantuano, 2012, batch 1","0,7","2- B,S","roasty, oreo shell, coffee","3,5",EUA
734,1153,Dandelion,USA,2013,Papua New Guinea,"Papua New Guinea, batch 1","0,7","2- B,S","mild smoke, raspberry,cocoa","3,5",EUA
735,1026,Dandelion,USA,2013,Venezuela,"Patanemo, batch 3","0,7","2- B,S","licorice, sour, rich cocoa","3,25",EUA
736,1026,Dandelion,USA,2013,Venezuela,"Cumboto, farmer Jose Lugo, batch 1","0,7","2- B,S","acidic, sour, cocoa","2,75",EUA
737,1387,Dandelion,USA,2014,Dominican Republic,"San Francisco de Macoris, Cibao region","0,7","2- B,S","cherry, rich choco","3,75",EUA
738,1219,Dandelion,USA,2014,Belize,Maya Mountain,"0,7","2- B,S","heavy roast, blackberry","3,5",EUA
739,1295,Dandelion,USA,2014,Ecuador,"Camino Verde P., Balao, Guayas, 2013","0,7","2- B,S","gummy, nutty, bourbon","3,5",EUA
740,1303,Dandelion,USA,2014,Liberia,Buto,"0,7","2- B,S","roasty, spicy, nutty","2,75",EUA
741,1446,Dandelion,USA,2015,Belize,"Maya Mtn., Break Bar- Snark","0,7","2- B,S","intense, roasty, coffee, raisin","3,0",EUA
742,1816,Dandelion,USA,2016,Dominican Republic,"Zorzal Reserva, 2015 H., Kerchner","0,7","2- B,S","cherry, rich choco","3,75",EUA
743,2024,Dandelion,USA,2017,Costa Rica,"Hacienda Azul, 2016 Harvest","0,7","2- B,S","cocoa, sour, toffee, earthy","3,0",EUA
744,2178,Dandelion,USA,2018,India,"Anamalai, 2017 harvest","0,7","2- B,S","ripe orange, citrus","3,5",EUA
745,2178,Dandelion,USA,2018,Honduras,"WAMPU, La Mosquitia, 2017 harvest","0,7","2- B,S","nutty, moderate acidity","3,25",EUA
746,2178,Dandelion,USA,2018,Sierra Leone,"Gola Rainforest, 2017 harvest","0,7","2- B,S","vegetal, high astringency","3,0",EUA
747,2386,Dandelion,USA,2019,Vietnam,"Ben Tre, 2018 Harvest","0,7","2- B,S","green apple, sticky","3,5",EUA
748,2546,Dandelion,USA,2021,Brazil,"Vale Potumuju, 2019 h., batch 1","0,7","2- B,S",distinct choco and graham,"4,0",EUA
749,2546,Dandelion,USA,2021,Tanzania,"Kokoa Kamili, 2017 h., batch 2","0,7","2- B,S","dairy, honey, cocoa","3,5",EUA
750,2550,Dandelion,USA,2021,Dominican Republic,"Zorzal Estate, 2016 h., batch 1","0,7","2- B,S","faint fruit, basic fudgey","3,5",EUA
751,2550,Dandelion,USA,2021,Peru,"Piura Blanco, 2015 h.,Norandino Coop, batch 1","0,7","2- B,S","grape, pungent","3,25",EUA
752,2602,Dandelion,USA,2021,India,"Anamalai, 2019 H., batch 1, nutmeg fermentation","0,7","2- B,S","orange soda, sour","3,25",EUA
753,2602,Dandelion,USA,2021,Guatemala,"Cahabon, Cacao Verapaz, ADIOESMAC, batch 1","0,7","2- B,S","pungent, woody, choco pudding","2,75",EUA
754,2602,Dandelion,USA,2021,India,"Anamalai, 2018 H., batch 1","0,7","2- B,S","pungent, sour, tart, intense","2,75",EUA
755,654,Dandelion (aka Brower Ave),USA,2011,Dominican Republic,Dominican Republic,"0,7","2- B,S","grassy, fruity, brownie","3,25",EUA
756,654,Dandelion (aka Brower Ave),USA,2011,Madagascar,Madagascar,"0,7","2- B,S","brownie, red berry","3,25",EUA
757,654,Dandelion (aka Brower Ave),USA,2011,Tanzania,Tanzania,"0,7","2- B,S",cocoa flavor dominates,"3,25",EUA
758,2550,Dandelion (Japan),USA,2021,Dominican Republic,"Zorzal Estate, 2017 h.","0,7","2- B,S","light caramel, sl. dry, earthy","3,0",EUA
759,423,Danta,Guatemala,2009,Guatemala,Las Acacias E.,"0,6","4- B,S,C,V","wood, holiday spice, soap","3,25",Guatemala
760,423,Danta,Guatemala,2009,Guatemala,Las Acacias E.,"0,75","4- B,S,C,V","dark woody, plum, astringent","3,0",Guatemala
761,661,Danta,Guatemala,2011,Guatemala,Los Ujuxtes,"0,6","4- B,S,C,V","oily, dried fruit, vanilla","3,5",Guatemala
762,987,Danta,Guatemala,2012,Guatemala,Las Acacias E.,"0,7","2- B,S","sweet spice, floral","4,0",Guatemala
763,987,Danta,Guatemala,2012,Guatemala,Los Ujuxtes,"0,7","2- B,S",spicy,"3,75",Guatemala
764,987,Danta,Guatemala,2012,Madagascar,Sambirano,"0,7","2- B,S","oily, toffee, hints of fruit","3,75",Guatemala
765,991,Danta,Guatemala,2012,Guatemala,"Oscuro, Finca Chimelb","0,7","2- B,S","nutty, ashey, spicy pepper","3,25",Guatemala
766,987,Danta,Guatemala,2012,Venezuela,Chuao,"0,75","4- B,S,C,V","gummy, fatty, caramel","3,0",Guatemala
767,1223,Danta,Guatemala,2014,Guatemala,Los Ujuxtes,"0,82","4- B,S,C,V","fatty, sunflower, peanutbutter","3,25",Guatemala
768,1920,DAR,USA,2016,Blend,"DUO, batch 002, Ecuador, Costa Rica","0,7","2- B,S","floral, licorice, roasty","3,25",EUA
769,1920,DAR,USA,2016,Vietnam,Vietnam,"0,72","2- B,S","raisins, astringent","3,0",EUA
770,1920,DAR,USA,2016,Venezuela,"Venezuela, batch 122","0,72","2- B,S","nut, tobacco, burnt, off notes","2,75",EUA
771,2772,DAR,USA,2022,Costa Rica,"Finnac Farm, cacao dried by DeVries, batch 3","0,72","3- B,S,C","creamy, intense, tart, cherry","3,75",EUA
772,2342,Darcis,Belgium,2019,Vietnam,Mekong Delta,"0,7","4- B,S,C,L","muted, creamy, basic cocoa","3,25",Bélgica
773,2342,Darcis,Belgium,2019,Peru,Piura,"0,72","4- B,S,C,L","muted, creamy, grapes, fatty","3,0",Bélgica
774,1550,Dark Forest,USA,2015,Venezuela,Ocumare,"0,7","3- B,S,C","roasty, nutty, sweet","3,25",EUA
775,1554,Dark Forest,USA,2015,Ecuador,Ecuador,"0,7","3- B,S,C","bold, floral, rum","3,25",EUA
776,1550,Dark Forest,USA,2015,Madagascar,Madagascar,"0,7","3- B,S,C","sweet, strong sour, acidic","3,0",EUA
777,1554,Dark Forest,USA,2015,Tanzania,Tanzania,"0,7","3- B,S,C","intense, sweet, brownie","3,0",EUA
778,1708,Dark Forest,USA,2016,Bolivia,Bolivia,"0,75","3- B,S,C","mild cherry, fatty","3,25",EUA
779,907,Davis,USA,2012,Blend,West Africa,"0,58","4- B,S,C,L","nice melt, odd rubber notes","3,25",EUA
780,1093,Davis,USA,2013,Dominican Republic,Rainforest,"0,7","4- B,S,C,L","chalky, vanilla, caramel","2,75",EUA
781,1093,Davis,USA,2013,Venezuela,Venezuela,"0,7","4- B,S,C,L","fatty, powdery, nut, sl. Burnt","2,75",EUA
782,1093,Davis,USA,2013,Ghana,Ghana,"0,7","4- B,S,C,L","vanilla, fatty, basic cocoa","2,5",EUA
783,1462,De Mendes,Brazil,2015,Brazil,"Nativo, Varzea","0,72","3- B,S,C","texture issues, brownie","3,5",Brasil
784,1462,De Mendes,Brazil,2015,Brazil,"Selvagem, Jari","0,65","3- B,S,C","one dimensional, brownie","3,5",Brasil
785,1832,De Villiers,South Africa,2016,Madagascar,"Sambirano Valley, batch 2477","0,7","3- B,S,C","high roast, fruit","3,0",África do Sul
786,1832,De Villiers,South Africa,2016,Uganda,Bundibugyo District,"0,7","3- B,S,C","high roast, intense, fatty","2,5",África do Sul
787,175,Dean and Deluca (Belcolade),USA,2007,Costa Rica,Costa Rica,"0,64","4- B,S,C,V","dark coffee, cocoa","3,0",EUA
788,175,Dean and Deluca (Belcolade),USA,2007,Ecuador,Ecuador,"0,71","4- B,S,C,V","cinamon, nutmeg, coffee","3,0",EUA
789,175,Dean and Deluca (Belcolade),USA,2007,Ghana,Ghana,"0,6","4- B,S,C,V","nutty, simple, sweet","3,0",EUA
790,180,Dean and Deluca (Belcolade),USA,2007,Papua New Guinea,Papua New Guinea,"0,64","4- B,S,C,V","waxy, tobacco, smokey","3,0",EUA
791,180,Dean and Deluca (Belcolade),USA,2007,Peru,Peru,"0,64","4- B,S,C,V","mild mint, basic cocoa","3,0",EUA
792,170,Dean and Deluca (Belcolade),USA,2007,Madagascar,Madagascar,"0,66","4- B,S,C,V","sandy, cloying, rich cocoa","2,5",EUA
793,263,Debauve & Gallais (Michel Cluizel),France,2008,Venezuela,Venezuela,"0,66","4- B,S,C,V","fatty, rich cocoa, roasty","3,75",França
794,423,Debauve & Gallais (Michel Cluizel),France,2009,Papua New Guinea,Papua New Guinea,"0,64","4- B,S,C,V","smokey,chalky,berry,caramel","3,0",França
795,2916,Deeper,China,2024,Ecuador,"Costal Esmeraldas, nacional hybrids","0,72","3- B,S,C","sticky/gummy, nutella, dairy","4,0",China
796,2920,Deeper,China,2024,Tanzania,Kokoa Kamili,"0,72","3- B,S,C","fruity, cherry, choco","3,75",China
797,2916,Deeper,China,2024,Uganda,Semuliki Forest,"0,75","3- B,S,C","dried fruit, banana, cocoa","3,5",China
798,2920,Deeper,China,2024,Peru,"Cusco, Chuncho","0,72","3- B,S,C","pungent, cherry, acidic","3,5",China
799,2920,Deeper,China,2024,Thailand,Thailand,"0,7","3- B,S,C","leafy green, sl. sour, astringent","3,25",China
800,2222,Definite,Dominican Republic,2018,Dominican Republic,Duarte Province,"0,8","2- B,S","mild bitter, fatty, grassy","3,0",República Dominicana
801,2222,Definite,Dominican Republic,2018,Dominican Republic,Elvesia,"0,7","2- B,S","metallic, dirt/ earthy","2,5",República Dominicana
802,2222,Definite,Dominican Republic,2018,Dominican Republic,Duarte Province,"0,7","2- B,S","dirty, floral, unrefined","2,5",República Dominicana
803,1916,Desbarres,Canada,2016,Tanzania,"Kilombero, batch 41","0,72","2- B,S","vanilla, chemical, rubber","2,5",Canadá
804,2422,Desbarres,Canada,2019,Guatemala,"Monte Grande, batch 178","0,72","2- B,S","smokey, roasty, acidic, rich","3,0",Canadá
805,166,DeVries,USA,2007,Costa Rica,Costa Rica,"0,77","2- B,S","red berry, lingering coffee","3,5",EUA
806,166,DeVries,USA,2007,Dominican Republic,Dominican Republic,"0,77","2- B,S","sticky, woodsy, rum","3,5",EUA
807,241,DeVries,USA,2008,Bolivia,Bolivian,"0,8","2- B,S","intense fruit, bitter ending","2,75",EUA
808,769,Dick Taylor,USA,2011,Ecuador,Ecuador,"0,7","2- B,S","grassy, tea, late sour","3,25",EUA
809,769,Dick Taylor,USA,2011,Dominican Republic,La Red,"0,74","2- B,S","earthy, tart, sour","3,0",EUA
810,661,Dick Taylor,USA,2011,Madagascar,Sambirano,"0,8","2- B,S","sandy, flat, hint of berry","2,75",EUA
811,682,Dick Taylor,USA,2011,Venezuela,Mantuano,"0,75","2- B,S","sticky, very roasty, nutty","2,75",EUA
812,895,Dick Taylor,USA,2012,Bolivia,Bolivia,"0,75","2- B,S","dry, mint, medicinal","2,75",EUA
813,1193,Dick Taylor,USA,2013,Ecuador,Camino Verde,"0,76","2- B,S","butter, floral, rum","3,5",EUA
814,1034,Dick Taylor,USA,2013,Ecuador,"Ecuador, Choc. Garage Exclusive","0,7","2- B,S","oily, black pepper, roasty","3,25",EUA
815,1235,Dick Taylor,USA,2014,Dominican Republic,Elvesia,"0,74","2- B,S","mild fruit and spice, roasty","3,5",EUA
816,1634,Dick Taylor,USA,2015,Bolivia,"Alto Beni, Wild Harvest, Limited Ed.","0,7","2- B,S","sticky, rich, cherry","3,75",EUA
817,1864,Dick Taylor,USA,2016,Vietnam,Tien Giang,"0,78","2- B,S","tropical berry, intense","3,5",EUA
818,2016,Dick Taylor,USA,2017,Solomon Islands,"Solomon Is.,batch 17158, N.Vela","0,72","2- B,S","well defined, creamy, cherry","4,0",EUA
819,1952,Dick Taylor,USA,2017,Guatemala,Lanquin Estate,"0,7","2- B,S","blackberry, raisns","3,75",EUA
820,1972,Dick Taylor,USA,2017,Brazil,"Fazenda Camboa, Bahia, batch 17009","0,75","2- B,S","sticky, roasty nibs, grapes","3,75",EUA
821,2258,Dick Taylor,USA,2018,Fiji,"Vanua Levu, Matasawalevu","0,8","2- B,S","cocoa, tea, malt","3,75",EUA
822,2270,Dick Taylor,USA,2019,Belize,"Maya Mtn, Toledo","0,72","2- B,S","creamy, sticky, dried fruit","4,0",EUA
823,2434,Dick Taylor,USA,2019,Madagascar,"Akesson P., Sambirano","0,72","2- B,S","sticky, dried fruit, toast, cocoa","3,75",EUA
824,2466,Dick Taylor,USA,2020,Blend,"Northerner, Madagascar and Brazil","0,73","2- B,S","burnt honey, earthy","3,5",EUA
825,2656,Dick Taylor,USA,2021,Mexico,"Soconusco, Rayen Cacao Co-op, batch 21154","0,72","2- B,S","dried fruit, fig, astringent, sticky","4,0",EUA
826,2554,Dick Taylor,USA,2021,Jamaica,"Bachelor's Hall, batch 20240","0,75","2- B,S","sl. bitter, black licorice, dried fig","3,75",EUA
827,2732,Didier Smeets,Belgium,2022,Madagascar,Madagascar,"0,63","3- B,S,C","sl sour, grassy, off, fatty","3,0",Bélgica
828,2736,Didier Smeets,Belgium,2022,Peru,Peru,"0,65","3- B,S,C","peanut butter, dirty","2,75",Bélgica
829,2740,Didier Smeets,Belgium,2022,Vietnam,Vietnam,"0,7","3- B,S,C","sweet, fatty, rancid","2,75",Bélgica
830,2740,Didier Smeets,Belgium,2022,Bali,Bali,"0,65","3- B,S,C","earthy, astringent, metallic","2,5",Bélgica
831,2402,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,"Sao Tome, batch OST-18-01","0,65","4- B,S,C,L","complex, sweet, sour, grassy","3,0",São Tomé e Príncipe
832,2406,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,"Sao Tome, batch TRI-18-002, trinitario","0,75","4- B,S,C,L","bland, fatty, fruit","3,0",São Tomé e Príncipe
833,2402,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,"Sao Tome, unroasted, batch UNR-18-003","0,7","4- B,S,C,L","cocoa, raw, dirty, chemical","2,75",São Tomé e Príncipe
834,2406,Diogo Vaz,Sao Tome & Principe,2019,Sao Tome,"Sao Tome, Grand Cru Plantation, amelonado","0,75","4- B,S,C,L","late cocoa, harsh, off notes","2,5",São Tomé e Príncipe
835,2916,Disidente,Colombia,2024,Colombia,"Rio Sinu, lot# 00251","0,75","3- B,S,C","nutty, earthy, fatty","2,75",Colômbia
836,1407,Doble & Bignall,UK,2014,Nicaragua,Johe,"0,72","3- B,S,C","nutty, caramel, toffee","3,5",Reino Unido
837,1371,Doble & Bignall,UK,2014,Panama,"Panama, Raven","0,72","3- B,S,C","mild cherry, earthy","3,25",Reino Unido
838,1371,Doble & Bignall,UK,2014,Venezuela,"Puerto Cabello, Mantuano","0,72","3- B,S,C","fatty, rasin, nutty","3,25",Reino Unido
839,1688,Doble & Bignall,UK,2015,Venezuela,Puerto Cabello,"0,85","3- B,S,C","intense, spicy, floral","3,0",Reino Unido
840,311,Dole (Guittard),USA,2009,U.S.A.,"O'ahu Island, N. Shore, Waialua Estate","0,7",,"creamy, nutty, fruity","3,75",EUA
841,63,Dolfin (Belcolade),Belgium,2006,Blend,Noir,"0,7","3- B,S,L","acidic, astringent, unpleasant","1,5",Bélgica
842,304,Dolfin (Belcolade),Belgium,2008,Blend,"Africa, West Africa","0,88","3- B,S,L","sticky, floral","3,0",Bélgica
843,87,Domori,Italy,2006,Venezuela,Carenero Superior,"0,7","2- B,S","creamy, basic cocoa","3,5",Itália
844,87,Domori,Italy,2006,Peru,Apurimac,"0,7","2- B,S","floral, olive","3,25",Itália
845,87,Domori,Italy,2006,Venezuela,Sur del Lago Classificado,"0,7","2- B,S","long lasting, fruit","3,0",Itália
846,111,Domori,Italy,2007,Venezuela,Porcelana,"0,7","2- B,S","creamy, complex, coffee","4,0",Itália
847,192,Domori,Italy,2007,Ecuador,Ecuador,"0,7","2- B,S","creamy, nuts, woody, cocoa","4,0",Itália
848,192,Domori,Italy,2007,Venezuela,"Ocumare 67, Puertofino","0,7","2- B,S","creamy, mint, tobacco, olive","4,0",Itália
849,192,Domori,Italy,2007,Indonesia,"Java, Javablond","0,7","2- B,S","creamy, smokey, tobacco","3,75",Itália
850,135,Domori,Italy,2007,Madagascar,Madagascar,"0,7","2- B,S","fruity, basic cocoa","3,5",Itália
851,192,Domori,Italy,2007,Madagascar,Madagared,"0,7","2- B,S","smooth, banana, cocoa","3,5",Itália
852,129,Domori,Italy,2007,Venezuela,"Ocumare 61, Puertomar","0,75","2- B,S","sticky, smoke, ham, earthy","3,25",Itália
853,135,Domori,Italy,2007,Venezuela,Granella,"0,6","2- B,S","mild spice, licorice","3,25",Itália
854,272,Domori,Italy,2008,Blend,Ilblend,"0,7","2- B,S","sticky, olive","3,75",Itália
855,272,Domori,Italy,2008,Blend,Blend No. 1,"0,78","2- B,S","sticky, grassy, coffee","3,5",Itália
856,227,Domori,Italy,2008,Venezuela,"Carupano, H. San Jose","0,7","2- B,S","cucumber, hot spices","3,0",Itália
857,272,Domori,Italy,2008,Colombia,Teyuna,"0,7","2- B,S","creamy, woody, earthy","3,0",Itália
858,470,Domori,Italy,2010,Venezuela,"Chuao, Hacienda San Jose","0,7","2- B,S","subtle, caramel, sour milk","3,0",Itália
859,693,Domori,Italy,2011,Venezuela,"Canoabo, Hacienda San Jose","0,7","2- B,S","smooth, intense, smoke, nut","3,5",Itália
860,863,Domori,Italy,2012,Venezuela,Guasare,"0,7","2- B,S","creamy, coffee, caramel","3,75",Itália
861,863,Domori,Italy,2012,Tanzania,Morogoro,"0,7","2- B,S","sticky, nutty","3,5",Itália
862,1109,Domori,Italy,2013,Venezuela,"IL100, H. San Jose, batch NDL3A01","1,0",,"smooth, fruit, coffee, bitter","3,0",Itália
863,1672,Domori,Italy,2015,Ecuador,Hacienda Victoria,"0,7","2- B,S","floral, well developed, creamy","3,75",Itália
864,1672,Domori,Italy,2015,Venezuela,Ocumare 77,"0,7","2- B,S","nutty, strawberry, creamy","3,75",Itália
865,2040,Domori,Italy,2018,Tanzania,Tanzania,"0,7","2- B,S","creamy, sticky, fruit","4,0",Itália
866,2748,Domori,Italy,2022,Brazil,Brazil,"0,7","2- B,S","grassy, herbal, tea","3,5",Itália
867,1676,Dormouse,UK,2015,Colombia,"Colombia, Batch 9","0,8","3- B,S,C","bitter,molasses,marshmallow","2,75",Reino Unido
868,1676,Dormouse,UK,2015,Madagascar,"Madagascar, Batch 8","0,77","3- B,S,C","fruity, molasses","2,75",Reino Unido
869,1672,Dormouse,UK,2015,Venezuela,"Rio Caribe, Batch 7","0,7","3- B,S,C","burnt rubber, molasses","2,5",Reino Unido
870,1880,Dormouse,UK,2016,Grenada,Non Pariel Estate,"0,75","3- B,S*,C","licorice, molasses, rubber","2,75",Reino Unido
871,2052,Dormouse,UK,2018,Guatemala,"Verapaz, batch 254","0,72","3- B,S*,C","near perfect shine, cocoa","3,5",Reino Unido
872,2096,Dormouse,UK,2018,Peru,"Piura, batch 274","0,8","2- B,S*","molasses, fruit","3,5",Reino Unido
873,2052,Dormouse,UK,2018,Philippines,"Kablon Farm, batch 242","0,715","3- B,S*,C",molasses notes from sugar,"2,75",Reino Unido
874,2696,Dormouse,UK,2021,Belize,"Trio Reserve, 2020 h. batch D002","0,78","3- B,S,C",molasses notes dominate,"3,25",Reino Unido
875,2390,Double Spiral,USA,2019,Dominican Republic,Hispaniola,"0,75","2- B,S","dry, cocoa, grassy, spicy","3,0",EUA
876,2390,Double Spiral,USA,2019,Tanzania,Kokoa Kamili,"0,7","2- B,S","dry, sour, sweet, mild fruit","2,75",EUA
877,2390,Double Spiral,USA,2019,Dominican Republic,Oko Caribe,"0,75","2- B,S","dry, earthy, walnut","2,5",EUA
878,2752,Ducrey,USA,2022,Dominican Republic,"Zorzal, Cibao, San Francisco de Macoris","0,7","2- B,S","tobacco, roasty, hint of fruit","3,25",EUA
879,2752,Ducrey,USA,2022,Haiti,Pisa,"0,7","2- B,S","rich brownie, roasty, coffee","3,25",EUA
880,2752,Ducrey,USA,2022,Nicaragua,"O'Payo, Wasalala Co-op","0,75","2- B,S","earthy, dirty","2,75",EUA
881,2836,Ducrey,USA,2023,Peru,"Piura, batch 050223","0,7","2- B,S","bold, grapes, roasty, chocolatey","3,5",EUA
882,2836,Ducrey,USA,2023,Haiti,"PISA, batch 040523","0,6","2- B,S","gritty,sweet,brownie,maple syrup","3,0",EUA
883,2836,Ducrey,USA,2023,Peru,"Piura, batch 042023","0,75","2- B,S","savory, sl. sour","3,0",EUA
884,2848,Ducrey,USA,2023,Peru,"Chuncho, Cusco","0,75","2- B,S","malted hot cocoa, sandy, roasty","3,0",EUA
885,2852,Ducrey,USA,2023,Peru,"Chuncho, Cusco, b. 090723","0,6","2- B,S","very sweet, cocoa","3,0",EUA
886,2852,Ducrey,USA,2023,Mexico,Tabasco,"0,7","2- B,S","burnt brownie, sweet","3,0",EUA
887,516,Duffy's,UK,2010,Ecuador,"Corazon del Ecuador, Calceta beans","0,72","3- B,S,C","rich cocoa, fruity, strong floral","3,75",Reino Unido
888,523,Duffy's,UK,2010,Peru,Star of Peru,"0,7","3- B,S,C","dark forest berry, spice","3,75",Reino Unido
889,516,Duffy's,UK,2010,Panama,Panama,"0,7","3- B,S,C",caramel and cocoa,"3,5",Reino Unido
890,523,Duffy's,UK,2010,Ecuador,Star of Ecuador,"0,7","3- B,S,C","chalky, bread, dirt","2,5",Reino Unido
891,623,Duffy's,UK,2011,Honduras,"Indio Rojo, Xoco","0,72","3- B,S,C","dried fruit, grapes, sour","3,75",Reino Unido
892,661,Duffy's,UK,2011,Dominican Republic,Dominican Republic,"0,65","3- B,S,C","heavy roast, woody, berry","3,5",Reino Unido
893,765,Duffy's,UK,2011,Venezuela,Ocumare,"0,71","3- B,S,C",intense cocoa,"3,5",Reino Unido
894,697,Duffy's,UK,2011,Nicaragua,"Nicaliso, Xoco","0,71","3- B,S,C","intense, almond, coffee","3,25",Reino Unido
895,697,Duffy's,UK,2011,Panama,"Bocas del Toro, Tierra Oscura","0,72","3- B,S,C","licorice, leathery","3,0",Reino Unido
896,923,Duffy's,UK,2012,Venezuela,Ocumare,"0,72","3- B,S,C","creamy, nutty","3,75",Reino Unido
897,1331,Duffy's,UK,2014,Nicaragua,"Rico Rugoso, Xoco","0,76","4- B,S,C,L","black pepper, rich, intense","3,75",Reino Unido
898,1331,Duffy's,UK,2014,Nicaragua,"Chuno, Xoco","0,7","4- B,S,C,L","sandy, full bodied, spicy","3,5",Reino Unido
899,1662,Duffy's,UK,2015,Guatemala,"Rio Dulce, Xoco","0,7","4- B,S,C,L","intense, spicy, butterscotch","4,0",Reino Unido
900,1964,Duffy's,UK,2017,Nigeria,Eti-Oni,"0,7","4- B,S,C,L",candy like off flavor,"2,75",Reino Unido
901,2100,Duffy's,UK,2018,Guatemala,Mayan Red,"0,8","4- B,S,C,L","intense earthy, cocoa, roasty","3,25",Reino Unido
902,2366,Duffy's,UK,2019,Philippines,South Cotabato,"0,7","4- B,S,C,L","cocoa, honey, watery, sweet","3,5",Reino Unido
903,2648,Duffy's,UK,2021,Nicaragua,"Juno, batch 201006","0,7","4- B,S,C,L","fruit, holiday spice","3,5",Reino Unido
904,1506,Dulcinea,USA,2015,Dominican Republic,"Dominican Republic, batch 1507","0,7","2- B,S","coarse, earthy, mild banana","3,25",EUA
905,841,Durand,France,2012,Madagascar,Madagascar,"0,82",,"fatty, muted","2,75",França
906,1630,Durci,USA,2015,Ecuador,Corona Arriba,"0,7","3- B,S,C",blackberry and cinnamon,"4,0",EUA
