,REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,Company Location PT
93,2872,Amano,USA,2023,Venezuela,Cuyagua,"0,7","4- B,S,C,V","nutty, melon, faint vanilla","3,0",EUA
94,322,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,"0,7","2- B,S","dry, chalky, fudge-like","3,0",Espanha
95,464,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,"0,85","2- B,S","roasty,oddly sweet,marshmallow","3,0",Espanha
96,327,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,"0,7","2- B,S","waxy mouthfeel, spicy","2,75",Espanha
97,464,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,"0,85","2- B,S","fatty, mushroom, off notes","2,75",Espanha
98,1964,Amazing Cacao,Russia,2017,Peru,Platan Bajo,"0,7",,"few grits, blackcherry, licorice","3,5",Rússia
99,1964,Amazing Cacao,Russia,2017,Peru,Maranon,"0,7",,"raisins, pungent","3,0",Rússia
100,1145,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin","0,73","3- B,S,C","oily, vegetal, nutty, cocoa","3,5",Peru
101,1145,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop","0,72","3- B,S,C","oily, vanilla, melon, cocoa","3,25",Peru
102,1498,Ambrosia,Canada,2015,Peru,Peru,"0,68","2- B,S","rich, sour, mild smoke","3,5",Canadá
103,1494,Ambrosia,Canada,2015,Madagascar,Madagascar,"0,66","2- B,S","fruity, sour","3,25",Canadá
104,1498,Ambrosia,Canada,2015,Dominican Republic,Dominican Republic,"0,75","2- B,S","high roast, high astringnet","3,25",Canadá
105,1498,Ambrosia,Canada,2015,Papua New Guinea,Papua New Guinea,"0,63","2- B,S","smokey, savory","3,25",Canadá
106,1498,Ambrosia,Canada,2015,Venezuela,Venezuela,"0,7","2- B,S","sandy, roasty, nutty","3,25",Canadá
107,1494,Ambrosia,Canada,2015,Belize,Belize,"0,64","4- B,S,C,L","roasty, brownie, nutty","3,0",Canadá
108,75,Amedei,Italy,2006,Blend,Toscano Black,"0,66","4- B,S,C,V","red wine, rich cocoa, long","3,75",Itália
109,123,Amedei,Italy,2007,Venezuela,Venezuela,"0,7","4- B,S,C,V","creamy, fruit, cocoa","3,75",Itália
110,123,Amedei,Italy,2007,Grenada,Grenada,"0,7","4- B,S,C,V",fruity with coffee notes,"3,5",Itália
111,129,Amedei,Italy,2007,Trinidad,Trinidad,"0,7","4- B,S,C,V","coffee, fruit, woodsy","3,5",Itália
